date,country,send_interval,is_verified,is_unsubscribed,account_cnt,sent_msg,open_msg,visit_msg,total_country_account_cnt,total_country_sent_cnt,rank_total_country_account_cnt,rank_total_country_sent_cnt
2020-12-02,France,1,1,1,0,10,1,0,553,9520,5,6
2020-12-02,France,1,1,0,0,70,28,1,553,9520,5,6
2020-12-03,France,1,0,0,3,0,0,0,553,9520,5,6
2020-12-03,France,1,1,0,4,0,0,0,553,9520,5,6
2020-12-03,France,1,1,1,0,5,0,0,553,9520,5,6
2020-12-03,France,1,1,0,0,76,32,2,553,9520,5,6
2020-12-03,France,1,0,0,0,3,1,0,553,9520,5,6
2020-12-04,France,1,0,0,4,0,0,0,553,9520,5,6
2020-12-04,France,1,1,0,5,0,0,0,553,9520,5,6
2020-12-04,France,1,1,1,2,0,0,0,553,9520,5,6
2020-12-04,France,1,1,0,0,66,32,1,553,9520,5,6
2020-12-04,France,1,1,1,0,5,0,0,553,9520,5,6
2020-12-04,France,1,0,0,0,2,1,0,553,9520,5,6
2020-12-05,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-05,France,1,1,0,3,0,0,0,553,9520,5,6
2020-12-05,France,1,1,1,2,0,0,0,553,9520,5,6
2020-12-05,France,1,1,0,0,65,22,3,553,9520,5,6
2020-12-05,France,1,1,1,0,5,0,0,553,9520,5,6
2020-12-06,France,1,1,0,2,0,0,0,553,9520,5,6
2020-12-06,France,1,1,0,0,61,27,5,553,9520,5,6
2020-12-06,France,1,1,1,0,5,0,0,553,9520,5,6
2020-12-07,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-07,France,1,1,0,4,0,0,0,553,9520,5,6
2020-12-07,France,1,1,1,3,0,0,0,553,9520,5,6
2020-12-07,France,1,1,0,0,69,27,3,553,9520,5,6
2020-12-07,France,1,1,1,0,12,2,1,553,9520,5,6
2020-12-07,France,1,0,0,0,1,0,0,553,9520,5,6
2020-12-08,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-08,France,1,1,0,6,0,0,0,553,9520,5,6
2020-12-08,France,1,0,1,1,0,0,0,553,9520,5,6
2020-12-08,France,1,1,1,2,0,0,0,553,9520,5,6
2020-12-08,France,1,1,1,0,16,1,0,553,9520,5,6
2020-12-08,France,1,1,0,0,76,31,0,553,9520,5,6
2020-12-08,France,1,0,1,0,2,2,0,553,9520,5,6
2020-12-08,France,1,0,0,0,2,2,0,553,9520,5,6
2020-12-09,France,1,0,0,3,0,0,0,553,9520,5,6
2020-12-09,France,1,1,0,6,0,0,0,553,9520,5,6
